rank,service,city,state,score,lead_value,estimated_monthly_value,rationale
18,Garage Door Repair,Edmond,OK,62.4,75,900,"Garage Door Repair in Edmond has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
19,Water Heater Repair,Edmond,OK,62.2,90,1080,"Water Heater Repair in Edmond has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
20,Tree Removal,Yukon,OK,61.7,125,1500,"Tree Removal in Yukon has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
21,Foundation Repair,Yukon,OK,61.2,175,2100,"Foundation Repair in Yukon has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
22,Garage Door Repair,Norman,OK,61.1,75,900,"Garage Door Repair in Norman has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
23,Water Heater Repair,Norman,OK,60.9,90,1080,"Water Heater Repair in Norman has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
24,Septic Repair,Tuttle,OK,60.7,150,1800,"Septic Repair in Tuttle has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
25,Tree Removal,Mustang,OK,60.6,125,1500,"Tree Removal in Mustang has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
26,Garage Door Repair,Moore,OK,60.6,75,900,"Garage Door Repair in Moore has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
27,Tree Removal,Chickasha,OK,60.5,125,1500,"Tree Removal in Chickasha has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
28,Water Heater Repair,Moore,OK,60.4,90,1080,"Water Heater Repair in Moore has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
29,Foundation Repair,Mustang,OK,60.1,175,2100,"Foundation Repair in Mustang has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
30,Foundation Repair,Chickasha,OK,60.0,175,2100,"Foundation Repair in Chickasha has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
31,Garage Door Repair,Yukon,OK,58.9,75,900,"Garage Door Repair in Yukon has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
32,Tree Removal,Tuttle,OK,58.8,125,1500,"Tree Removal in Tuttle has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
33,Water Heater Repair,Yukon,OK,58.7,90,1080,"Water Heater Repair in Yukon has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
34,Foundation Repair,Tuttle,OK,58.3,175,2100,"Foundation Repair in Tuttle has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
35,Garage Door Repair,Mustang,OK,57.8,75,900,"Garage Door Repair in Mustang has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
36,Garage Door Repair,Chickasha,OK,57.7,75,900,"Garage Door Repair in Chickasha has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
37,Water Heater Repair,Mustang,OK,57.6,90,1080,"Water Heater Repair in Mustang has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
38,Water Heater Repair,Chickasha,OK,57.5,90,1080,"Water Heater Repair in Chickasha has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
39,Garage Door Repair,Tuttle,OK,56.0,75,825,"Garage Door Repair in Tuttle has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
40,Concrete Repair,Oklahoma City,OK,55.9,85,935,"Concrete Repair in Oklahoma City has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
41,Water Heater Repair,Tuttle,OK,55.8,90,990,"Water Heater Repair in Tuttle has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
42,Concrete Repair,Edmond,OK,52.0,85,850,"Concrete Repair in Edmond has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
43,Concrete Repair,Norman,OK,50.7,85,850,"Concrete Repair in Norman has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
44,Concrete Repair,Moore,OK,50.2,85,850,"Concrete Repair in Moore has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
45,Concrete Repair,Yukon,OK,48.5,85,850,"Concrete Repair in Yukon has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
46,Concrete Repair,Mustang,OK,47.4,85,765,"Concrete Repair in Mustang has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
47,Concrete Repair,Chickasha,OK,47.3,85,765,"Concrete Repair in Chickasha has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
48,Concrete Repair,Tuttle,OK,45.6,85,765,"Concrete Repair in Tuttle has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
